"GeneID"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"Lepr"	4.00597847611857	4.92467486985927	400.509188043863	7.32734472695862e-87	3.90935823217423e-82
"Gck"	-3.55883316433054	7.74267382770274	362.010584019647	1.75506543375822e-79	4.68190030436511e-75
"Gstm3"	-3.50327686491241	4.05127004641942	255.796744423265	3.11709008041149e-57	5.54353690200647e-53
"Ifi27l2b"	-3.10797346791619	4.4399505548846	245.79316533626	3.39331134509382e-55	4.52608350486977e-51
"Aacs"	-2.76689267868807	5.12320382660366	238.197835817366	1.03932104291582e-53	1.10901791205376e-49
"Scand1"	-4.72356267829606	3.11995479958492	228.799856693858	1.69238236853212e-51	1.50489460847157e-47
"Saa2"	-3.08212000361194	4.23481305001867	227.634756207074	2.97777774719415e-51	2.26961965922928e-47
"Serpina3e-ps"	3.23772524266008	3.99393358412705	224.722304315454	8.95940330893984e-51	5.97513805927334e-47
"Themis"	-3.02875597664154	4.16468968472578	216.27702385467	6.20141971795626e-49	3.676270513468e-45
"Slc22a27"	-3.64104736081463	3.54943745243487	216.090321285729	1.49044289471664e-48	7.9519599761817e-45
"4930519F09Rik"	-3.38200793083306	3.73015456129064	213.976449618579	1.96720746941839e-48	9.5414927378072e-45
"BC049987"	-3.0709026217538	3.94378975260318	203.089820298637	4.64264579992475e-46	2.06415901136154e-42
"Gm44364"	-2.7580460259518	4.33973463720766	197.929931349184	8.53266782228263e-45	3.50187251017112e-41
"Mmp11"	-2.43462991497289	8.17631290115614	184.56588959802	5.41552758103841e-42	2.06381887879387e-38
"Aqp8"	-2.31229177490494	6.73700431977531	180.522205255932	3.87396517361729e-41	1.37791775938669e-37
"Cidea"	-5.71046398426046	2.49637810550976	185.680877598464	7.18020045993061e-41	2.39428271961674e-37
"Uap1l1"	-2.80807542570451	3.93858990398452	177.102420193458	2.32431586969821e-40	7.29466027035346e-37
"Gm45044"	3.12267008974393	3.55351295728582	175.614006147739	1.71575945172251e-39	5.08560633487506e-36
"Ucp2"	-2.2402885927276	5.52404470049758	172.330856747545	2.37344632906574e-39	6.66476221024444e-36
"Cyp4a31"	2.2322940896108	6.21876280519506	172.224201765881	2.69170640024689e-39	7.12881704384831e-36
"H2afj"	-2.39480677737078	4.67112587943732	172.152491146228	2.80593702173851e-39	7.12881704384831e-36
"Hspb1"	-2.53304363273389	4.24814629165661	167.911490035253	2.18695924799178e-38	5.30367439809571e-35
"Anxa2"	-2.19702421567309	5.14798597969864	161.206869078681	6.9265345134955e-37	1.60674519955881e-33
"Gstm2-ps1"	-2.23156096804769	4.86592230207812	159.310845129286	1.64926163484923e-36	3.66637733350461e-33
"Thrsp"	-3.29294241982468	6.50322104215381	283.085727629393	5.9794645159728e-35	1.27608948128279e-31
"Lgals1"	-3.52278937186468	5.57652132089675	303.157368001907	1.74110742008063e-34	3.57281939167546e-31
