Geneid	SRR2932702_1.bam	SRR2932703_1.bam	SRR2932704_1.bam	SRR2932705_1.bam	SRR2932706_1.bam	SRR2932707_1.bam
4933401J01Rik	0	0	0	0	0	0
Gm26206	0	0	0	0	0	0
Xkr4	1	0	0	3	1	0
Gm18956	0	0	0	0	0	0
Gm37180	0	0	0	0	0	0
Gm37363	0	0	0	0	0	0
Gm37686	0	0	0	0	0	0
Gm1992	0	0	0	0	0	0
Gm37329	0	0	0	0	0	0
Gm7341	0	0	0	0	0	0
Gm38148	0	0	0	0	0	0
Gm19938	0	0	0	0	0	0
Gm10568	0	0	0	0	0	0
Gm38385	0	0	0	0	0	0
Gm27396	0	0	0	0	0	0
Gm37381	0	0	0	0	0	0
Rp1	4	0	1	0	0	0
Gm6101	0	0	0	0	0	0
Gm37483	0	0	0	0	0	0
Sox17	34	55	35	39	31	59
Gm37587	0	1	0	1	2	0
Gm7357	6	9	3	6	1	9
Gm22307	0	1	1	1	0	1
Gm38076	0	0	0	0	0	0
Gm37323	0	0	0	0	0	0
Gm7369	0	0	0	0	0	0
Gm6085	3	3	4	8	3	1
Gm6119	0	0	0	0	0	0
Gm25493	0	0	0	0	0	0
Gm2053	0	0	0	0	0	0
Gm6123	9	2	4	2	1	1
Mrpl15	449	493	443	487	451	437
Gm37144	0	0	0	0	0	0
Lypla1	0	0	0	0	0	0
Gm37988	11	12	4	8	7	8
Tcea1	322	228	308	269	179	263
Gm6104	6	2	2	5	2	0
Gm37277	2	2	0	2	0	0
Rgs20	1	1	4	4	0	7
Gm17100	0	0	0	0	0	0
Gm37079	0	0	0	0	0	0
Gm16041	0	0	0	0	0	0
Gm17101	0	0	0	0	0	0
Atp6v1h	392	438	551	682	569	698
Gm7182	0	0	0	0	0	0
Gm37567	0	0	0	0	0	0
Gm38264	0	0	0	0	0	0
Oprk1	0	0	0	1	0	0
Gm36965	0	0	0	0	0	0
Gm22463	0	0	0	0	0	0
Gm37429	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0
Gm19214	0	0	0	0	0	0
Rb1cc1	493	390	532	414	290	476
4732440D04Rik	28	26	21	13	18	28
Alkal1	0	0	0	0	0	0
Gm2147	0	0	0	0	0	0
