Batch	Mouse	CC.Line	Generation	Sex	DWB012
0	B0-1	IL-72	20	1	3.3777777778
0	B0-2	IL-72	20	1	6.1
0	B0-3	IL-72	20	1	3.1777777778
0	B0-12	IL-68	12	1	3.2111111111
0	B0-13	IL-68	12	1	3.1555555556
0	B0-14	IL-68	12	1	4.9888888889
0	B0-15	IL-68	12	1	3.0444444444
0	B0-16	IL-111	19	1	1.6111111111
0	B0-17	IL-111	19	1	2.5111111111
0	B0-22	IL-34	12	1	4.7222222222
0	B0-23	IL-34	12	1	2.9777777778
0	B0-29	IL-521	17	1	4.3333333333
0	B0-30	IL-521	17	1	2.7111111111
0	B0-31	IL-521	18	1	2.8444444444
0	B0-36	IL-521	18	1	2.4555555556
0	B0-37	IL-521	18	1	2.6888888889
0	B0-38	IL-521	18	1	4.5444444444
0	B0-39	IL-521	18	1	4.9222222222
0	B0-40	IL-521	18	1	4.3777777778
1	B1-1	IL-3438	13	1	6.8666666667
1	B1-2	IL-3438	13	1	7.7111111111
1	B1-3	IL-3438	13	1	8.4222222222
1	B1-4	IL-3438	13	1	9.3666666667
1	B1-5	IL-4141	13	1	6.5111111111
1	B1-6	IL-4141	13	1	8.3666666667
1	B1-24	IL-2076	14	1	7.4666666667
1	B1-25	IL-2156	15	1	4.7666666667
1	B1-26	IL-2156	15	1	6.6666666667
1	B1-27	IL-2156	15	1	6.2111111111
1	B1-28	IL-2156	15	1	4.1666666667
1	B1-29	IL-1488	13	1	1.0888888889
1	B1-30	IL-1488	13	1	1.5888888889
1	B1-36	IL-4457	15	1	15.6111111111
1	B1-37	IL-4457	15	1	11.7111111111
1	B1-38	IL-4457	15	1	9.3444444444
1	B1-39	IL-3912	15	1	10.1777777778
1	B1-40	IL-3912	15	1	6.5777777778
1	B1-41	IL-3912	15	1	5.4222222222
1	B1-42	IL-3912	15	1	8.2555555556
1	B1-31	IL-688	22	1	3.8666666667
1	B1-32	IL-688	22	1	11.8444444444
1	B1-33	IL-688	22	1	7.9555555556
1	B1-34	IL-688	22	1	12.1666666667
1	B1-35	IL-688	22	1	8.8555555556
2	B2-1	IL-72	31	1	2.6666666667
2	B2-3	IL-72	31	1	3.3222222222
2	B2-4	IL-72	31	1	3.1222222222
2	B2-5	IL-72	31	1	4.8333333333
2	B2-11	IL-2126	14	1	3.6888888889
2	B2-13	IL-2126	14	1	1.3777777778
2	B2-14	IL-2126	14	1	1.3888888889
2	B2-15	IL-2573	14	1	3.3444444444
2	B2-16	IL-2573	14	1	2.1666666667
2	B2-27	IL-188	23	1	9.8666666667
2	B2-29	IL-188	23	1	7.4
2	B2-30	IL-188	23	1	6.7555555556
2	B2-41	IL-1912	17	1	5.8111111111
2	B2-42	IL-1912	17	1	5.6222222222
2	B2-43	IL-1912	17	1	4.7666666667
2	B2-44	IL-1912	17	1	5.0222222222
2	B2-45	IL-1912	17	1	4.8111111111
2	B2-46	IL-1675	13	1	10.9666666667
2	B2-47	IL-1675	13	1	12.7555555556
2	B2-48	IL-1675	13	1	12.0111111111
2	B2-49	IL-1912	17	1	4.9777777778
2	B2-50	IL-1912	17	1	5.6222222222
2	B2-51	IL-2693	11	1	2.5222222222
2	B2-52	IL-2156	16	1	6.2777777778
2	B2-53	IL-2156	16	1	8.1666666667
2	B2-54	IL-2156	16	1	6.6444444444
2	B2-55	IL-2156	16	1	4.7555555556
2	B2-70	IL-111	26	1	7.7111111111
2	B2-71	IL-111	26	1	8.7444444444
2	B2-23	IL-519	24	1	3.8555555556
2	B2-24	IL-519	24	1	3.6222222222
2	B2-25	IL-519	24	1	4.4666666667
2	B2-26	IL-519	24	1	1.2666666667
3	B3-1	IL-4156	16	1	8.5888888889
3	B3-2	IL-4156	16	1	9.1333333333
3	B3-3	IL-4156	16	1	4.2666666667
3	B3-4	IL-4156	16	1	3.4666666667
3	B3-5	IL-4156	17	1	2.8555555556
3	B3-6	IL-4156	17	1	9.0111111111
3	B3-7	IL-4156	17	1	7.0555555556
3	B3-8	IL-4348	11	1	2.7
3	B3-9	IL-4348	11	1	3.7777777778
3	B3-10	IL-4348	11	1	4.5
3	B3-11	IL-2680	14	1	7.7777777778
3	B3-12	IL-2680	14	1	6.6333333333
3	B3-13	IL-2680	14	1	9.8222222222
3	B3-14	IL-2680	14	1	8.5777777778
3	B3-15	IL-2750	16	1	11.2555555556
3	B3-16	IL-2750	16	1	11.6444444444
3	B3-23	IL-1141	13	1	5.3444444444
3	B3-24	IL-1141	13	1	5.0111111111
3	B3-27	IL-2457	13	1	2.9777777778
3	B3-28	IL-2457	13	1	3.1111111111
3	B3-29	IL-2750	15	1	5.6444444444
3	B3-30	IL-2750	15	1	11.2666666667
3	B3-31	IL-2750	15	1	7.6
3	B3-32	IL-2750	15	1	3.9555555556
4	B4-4	IL-188	24	1	8.9666666667
4	B4-14	IL-3156	11	1	5.7555555556
4	B4-15	IL-3156	11	1	4.9444444444
